Kanton Basel-Stadt,,,,,,,
,,,,,,,
Kantonale Abstimmung vom 8. März 2015,,,,,,,Schlussresultat
,,,,,,,
(1) «Wohnen für alle»,,,,,,,
,"Stimmrechts-
ausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,594,593,25,0,568,322,246
Rathaus,664,664,15,0,649,392,257
Polizeiwache Clara,255,255,8,0,247,165,82
Basel brieflich Stimmende,38273,38220,886,15,37319,16187,21132
Total Basel,39786,39732,934,15,38783,17066,21717
Riehen Gemeindehaus,180,180,6,0,174,63,111
Riehen brieflich Stimmende,6561,6549,151,0,6398,2012,4386
Total Riehen,6741,6729,157,0,6572,2075,4497
Bettingen Gemeindehaus,6,6,0,0,6,4,2
Bettingen brieflich Stimmende,401,401,4,0,397,76,321
Total Bettingen,407,407,4,0,403,80,323
Total Kanton,46934,46868,1095,15,45758,19221,26537
,,,,,,,
,,,,,,,
(2) «Universitäres Zentrum für Zahnmedizin»,,,,,,,
,"Stimmrechts-
ausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,594,593,34,0,559,329,230
Rathaus,664,664,48,0,616,386,230
Polizeiwache Clara,255,255,18,0,237,118,119
Basel brieflich Stimmende,38273,38220,1468,13,36739,23431,13308
Total Basel,39786,39732,1568,13,38151,24264,13887
Riehen Gemeindehaus,180,180,9,0,171,112,59
Riehen brieflich Stimmende,6561,6549,219,1,6329,4143,2186
Total Riehen,6741,6729,228,1,6500,4255,2245
Bettingen Gemeindehaus,6,6,0,0,6,3,3
Bettingen brieflich Stimmende,401,401,14,0,387,256,131
Total Bettingen,407,407,14,0,393,259,134
Total Kanton,46934,46868,1810,14,45044,28778,16266
