Kanton Basel-Stadt							
							
Eidgenössische Volksabstimmung vom 25. September 2016							Schlussresultat
							
(1) «Grüne Wirtschaft»							
	"Stimmrechtsausweise"	Stimmzettel				Stimmen	
Wahllokale		eingelegte	leere	ungültige	Total gültige	Ja	Nein
Bahnhof SBB	1012	1010	19	0	991	706	285
Rathaus	982	982	13	0	969	689	280
Polizeiwache Clara	426	426	4	0	422	306	116
Basel brieflich Stimmende	42568	42543	751	8	41784	19971	21813
Total Basel	44988	44961	787	8	44166	21672	22494
Riehen Gemeindehaus	252	251	7	1	243	124	119
Riehen brieflich Stimmende	6845	6844	119	4	6721	2259	4462
Total Riehen	7097	7095	126	5	6964	2383	4581
Bettingen Gemeindehaus	12	12	0	0	12	8	4
Bettingen brieflich Stimmende	410	410	7	0	403	115	288
Total Bettingen	422	422	7	0	415	123	292
Elektronisch Stimmende AS	1487	1487	10	0	1477	759	718
Brieflich Stimmende AS	910	910	12	2	896	428	468
Total Auslandschweizer (AS)	2397	2397	22	2	2373	1187	1186
Total Kanton	54904	54875	942	15	53918	25365	28553
							
(2) «AHVplus»							
	"Stimmrechtsausweise"	Stimmzettel				Stimmen	
Wahllokale		eingelegte	leere	ungültige	Total gültige	Ja	Nein
Bahnhof SBB	1012	1010	31	0	979	474	505
Rathaus	982	982	32	0	950	513	437
Polizeiwache Clara	426	426	13	0	413	237	176
Basel brieflich Stimmende	42568	42543	554	6	41983	21063	20920
Total Basel	44988	44961	630	6	44325	22287	22038
Riehen Gemeindehaus	252	251	5	1	245	114	131
Riehen brieflich Stimmende	6845	6844	65	4	6775	2870	3905
Total Riehen	7097	7095	70	5	7020	2984	4036
Bettingen Gemeindehaus	12	12	0	0	12	4	8
Bettingen brieflich Stimmende	410	410	4	0	406	128	278
Total Bettingen	422	422	4	0	418	132	286
Elektronisch Stimmende AS	1487	1487	20	0	1467	697	770
Brieflich Stimmende AS	910	910	16	2	892	462	430
Total Auslandschweizer (AS)	2397	2397	36	2	2359	1159	1200
Total Kanton	54904	54875	740	13	54122	26562	27560
							
(3) «Nachrichtendienstgesetz»							
	"Stimmrechtsausweise"	Stimmzettel				Stimmen	
Wahllokale		eingelegte	leere	ungültige	Total gültige	Ja	Nein
Bahnhof SBB	1012	1010	32	0	978	386	592
Rathaus	982	982	36	0	946	349	597
Polizeiwache Clara	426	426	13	0	413	116	297
Basel brieflich Stimmende	42568	42543	1242	6	41295	22202	19093
Total Basel	44988	44961	1323	6	43632	23053	20579
Riehen Gemeindehaus	252	251	12	1	238	141	97
Riehen brieflich Stimmende	6845	6844	178	6	6660	4358	2302
Total Riehen	7097	7095	190	7	6898	4499	2399
Bettingen Gemeindehaus	12	12	0	0	12	7	5
Bettingen brieflich Stimmende	410	410	10	0	400	269	131
Total Bettingen	422	422	10	0	412	276	136
Elektronisch Stimmende AS	1487	1487	32	0	1455	876	579
Brieflich Stimmende AS	910	910	18	2	890	595	295
Total Auslandschweizer (AS)	2397	2397	50	2	2345	1471	874
Total Kanton	54904	54875	1573	15	53287	29299	23988
