Kanton Basel-Stadt;;;;;;;
;;;;;;;
Eidgenössische Volksabstimmung vom 4. März 2018;;;;;;;Schlussresultat
;;;;;;;
(1) «neue Finanzordnung 2021»;;;;;;;
;"Stimmrechtsausweise";Stimmzettel;;;;Stimmen;
Wahllokale;;eingelegte;leere;ungültige;Total gültige;Ja;Nein
Bahnhof SBB;858;858;55;0;803;733;70
Rathaus;1208;1208;79;2;1127;1010;117
Polizeiwache Clara;457;457;37;0;420;369;51
Basel brieflich Stimmende;52312;52299;2706;5;49588;41546;8042
Total Basel;54835;54822;2877;7;51938;43658;8280
Riehen Gemeindehaus;210;210;15;0;195;179;16
Riehen brieflich Stimmende;8287;8282;383;0;7899;6627;1272
Total Riehen;8497;8492;398;0;8094;6806;1288
Bettingen Gemeindehaus;14;14;0;0;14;14;0
Bettingen brieflich Stimmende;467;467;16;0;451;392;59
Total Bettingen;481;481;16;0;465;406;59
Elektronisch Stimmende AS;1913;1913;47;0;1866;1754;112
Brieflich Stimmende AS;1092;1089;25;0;1064;969;95
Total Auslandschweizer (AS);3005;3002;72;0;2930;2723;207
Total Kanton;66818;66797;3363;7;63427;53593;9834
;;;;;;;
(2) «Abschaffung der Billag-Gebühren»;;;;;;;
;"Stimmrechtsausweise";Stimmzettel;;;;Stimmen;
Wahllokale;;eingelegte;leere;ungültige;Total gültige;Ja;Nein
Bahnhof SBB;858;858;10;0;848;129;719
Rathaus;1208;1208;6;1;1201;197;1004
Polizeiwache Clara;457;457;6;0;451;80;371
Basel brieflich Stimmende;52312;52299;361;9;51929;14264;37665
Total Basel;54835;54822;383;10;54429;14670;39759
Riehen Gemeindehaus;210;210;3;0;207;41;166
Riehen brieflich Stimmende;8287;8282;57;3;8222;2215;6007
Total Riehen;8497;8492;60;3;8429;2256;6173
Bettingen Gemeindehaus;14;14;0;0;14;4;10
Bettingen brieflich Stimmende;467;467;5;0;462;112;350
Total Bettingen;481;481;5;0;476;116;360
Elektronisch Stimmende AS;1913;1913;8;0;1905;316;1589
Brieflich Stimmende AS;1092;1089;9;0;1080;214;866
Total Auslandschweizer (AS);3005;3002;17;0;2985;530;2455
Total Kanton;66818;66797;465;13;66319;17572;48747
