Kanton Basel-Stadt
,,,,,,,
Eidgenîssische Volksabstimmung vom 10. Juni 2018,,,,,,,Schlussresultat
,,,,,,,
(1) ÆVollgeld-InitiativeØ,,,,,,,
,"Stimmrechts-
ausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungÅltige,Total gÅltige,Ja,Nein
Bahnhof SBB,661,661,36,1,624,271,353
Rathaus,955,955,42,0,913,380,533
Polizeiwache Clara,377,377,28,0,349,159,190
Basel brieflich Stimmende,37363,37335,1394,9,35932,10984,24948
Total Basel,39356,39328,1500,10,37818,11794,26024
Riehen Gemeindehaus,204,204,11,0,193,50,143
Riehen brieflich Stimmende,6466,6465,228,2,6235,1436,4799
Total Riehen,6670,6669,239,2,6428,1486,4942
Bettingen Gemeindehaus,9,9,0,0,9,7,2
Bettingen brieflich Stimmende,324,324,5,0,319,38,281
Total Bettingen,333,333,5,0,328,45,283
Elektronisch Stimmende AS,1371,1371,20,0,1351,338,1013
Brieflich Stimmende AS,788,787,8,0,779,200,579
Total Auslandschweizer (AS),2159,2158,28,0,2130,538,1592
Total Kanton,48518,48488,1772,12,46704,13863,32841
,,,,,,,
,,,,,,,
,,,,,,,
Eidgenîssische Volksabstimmung vom 10. Juni 2018,,,,,,,Schlussresultat
,,,,,,,
(2) ÆGeldspielgesetzØ,,,,,,,
,"Stimmrechts-
ausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungÅltige,Total gÅltige,Ja,Nein
Bahnhof SBB,661,661,37,2,622,428,194
Rathaus,955,955,52,0,903,638,265
Polizeiwache Clara,377,377,26,0,351,233,118
Basel brieflich Stimmende,37363,37335,1645,13,35677,24637,11040
Total Basel,39356,39328,1760,15,37553,25936,11617
Riehen Gemeindehaus,204,204,14,0,190,137,53
Riehen brieflich Stimmende,6466,6465,289,0,6176,4318,1858
Total Riehen,6670,6669,303,0,6366,4455,1911
Bettingen Gemeindehaus,9,9,0,0,9,9,0
Bettingen brieflich Stimmende,324,324,7,0,317,238,79
Total Bettingen,333,333,7,0,326,247,79
Elektronisch Stimmende AS,1371,1371,19,0,1352,1082,270
Brieflich Stimmende AS,788,787,12,0,775,662,113
Total Auslandschweizer (AS),2159,2158,31,0,2127,1744,383
Total Kanton,48518,48488,2101,15,46372,32382,13990
