Kanton Basel-Stadt,,,,,,,
,,,,,,,
Eidgenössische Volksabstimmung vom 23. September 2018,,,,,,,Schlussresultat
,,,,,,,
(1) «Gegenentwurf zur Velo-Initiative»,,,,,,,
,"Stimmrechts-
ausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,643,643,7,0,636,568,68
Rathaus,756,756,7,0,749,672,77
Polizeiwache Clara,323,323,3,0,320,280,40
Basel brieflich Stimmende,37906,37888,412,5,37471,27062,10409
Total Basel,39628,39610,429,5,39176,28582,10594
Riehen Gemeindehaus,186,186,4,1,181,147,34
Riehen brieflich Stimmende,6332,6328,55,4,6269,4092,2177
Total Riehen,6518,6514,59,5,6450,4239,2211
Bettingen Gemeindehaus,9,9,0,0,9,7,2
Bettingen brieflich Stimmende,360,360,2,0,358,204,154
Total Bettingen,369,369,2,0,367,211,156
Elektronisch Stimmende AS,1456,1456,7,0,1449,1265,184
Brieflich Stimmende AS,828,826,4,2,820,680,140
Total Auslandschweizer (AS),2284,2282,11,2,2269,1945,324
Total Kanton,48799,48775,501,12,48262,34977,13285
,,,,,,,
,,,,,,,
(2) «Fair-Food-Initiative»,,,,,,,
,"Stimmrechts-
ausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,643,643,9,0,634,395,239
Rathaus,756,756,10,0,746,488,258
Polizeiwache Clara,323,323,5,0,318,231,87
Basel brieflich Stimmende,37906,37888,479,13,37396,16433,20963
Total Basel,39628,39610,503,13,39094,17547,21547
Riehen Gemeindehaus,186,186,4,1,181,84,97
Riehen brieflich Stimmende,6332,6328,77,3,6248,1824,4424
Total Riehen,6518,6514,81,4,6429,1908,4521
Bettingen Gemeindehaus,9,9,0,0,9,3,6
Bettingen brieflich Stimmende,360,360,4,0,356,83,273
Total Bettingen,369,369,4,0,365,86,279
Elektronisch Stimmende AS,1456,1456,12,0,1444,679,765
Brieflich Stimmende AS,828,826,7,2,817,387,430
Total Auslandschweizer (AS),2284,2282,19,2,2261,1066,1195
Total Kanton,48799,48775,607,19,48149,20607,27542
,,,,,,,
,,,,,,,
(3) «Ernährungssouveränität»,,,,,,,
,"Stimmrechts-
ausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,643,643,40,0,603,282,321
Rathaus,756,756,33,0,723,341,382
Polizeiwache Clara,323,323,11,0,312,156,156
Basel brieflich Stimmende,37906,37888,881,13,36994,12227,24767
Total Basel,39628,39610,965,13,38632,13006,25626
Riehen Gemeindehaus,186,186,10,1,175,56,119
Riehen brieflich Stimmende,6332,6328,95,3,6230,1386,4844
Total Riehen,6518,6514,105,4,6405,1442,4963
Bettingen Gemeindehaus,9,9,0,0,9,0,9
Bettingen brieflich Stimmende,360,360,7,0,353,54,299
Total Bettingen,369,369,7,0,362,54,308
Elektronisch Stimmende AS,1456,1456,30,0,1426,448,978
Brieflich Stimmende AS,828,826,13,2,811,322,489
Total Auslandschweizer (AS),2284,2282,43,2,2237,770,1467
Total Kanton,48799,48775,1120,19,47636,15272,32364
