Kanton Basel-Stadt,,,,,,,
,,,,,,,
Eidgenössische Volksabstimmung vom 19. Mai 2019,,,,,,,
,,,,,,,
(1) «Steuerreform und AHV»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,962,961,86,0,875,578,297
Rathaus,1393,1393,91,0,1302,862,440
Polizeiwache Clara,557,557,53,0,504,294,210
Basel brieflich Stimmende,47087,47018,2333,40,44645,31077,13568
Total Basel,49999,49929,2563,40,47326,32811,14515
Riehen Gemeindehaus,264,264,16,0,248,182,66
Riehen brieflich Stimmende,7790,7790,342,4,7444,5269,2175
Total Riehen,8054,8054,358,4,7692,5451,2241
Bettingen Gemeindehaus,10,10,0,0,10,10,0
Bettingen brieflich Stimmende,458,457,18,1,438,322,116
Total Bettingen,468,467,18,1,448,332,116
Persönlich an der Urne Stimmende AS,4,4,0,0,4,2,2
Brieflich Stimmende AS,1904,1899,51,0,1848,1346,502
Total Auslandschweizer (AS),1908,1903,51,0,1852,1348,504
Total Kanton,60429,60353,2990,45,57318,39942,17376
,,,,,,,
,,,,,,,
(2) «EU-Waffenrichtlinie»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,962,961,27,0,934,780,154
Rathaus,1393,1393,31,0,1362,1142,220
Polizeiwache Clara,557,557,9,1,547,443,104
Basel brieflich Stimmende,47087,47018,1084,31,45903,34566,11337
Total Basel,49999,49929,1151,32,48746,36931,11815
Riehen Gemeindehaus,264,264,8,0,256,178,78
Riehen brieflich Stimmende,7790,7790,207,3,7580,5257,2323
Total Riehen,8054,8054,215,3,7836,5435,2401
Bettingen Gemeindehaus,10,10,0,0,10,6,4
Bettingen brieflich Stimmende,458,457,11,0,446,306,140
Total Bettingen,468,467,11,0,456,312,144
Persönlich an der Urne Stimmende AS,4,4,0,0,4,3,1
Brieflich Stimmende AS,1904,1899,15,0,1884,1510,374
Total Auslandschweizer (AS),1908,1903,15,0,1888,1513,375
Total Kanton,60429,60353,1392,35,58926,44191,14735
