Kanton Basel-Stadt,,,,,,,
,,,,,,,
Kantonale Abstimmung vom 24. November 2019,,,,,,,Schlussresultat
,,,,,,,
«Totalrevision des Übertretungsstrafgesetzes»,,,,,,,
,"Stimmrechts-
ausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,184,184,1,0,183,85,98
Rathaus,312,312,2,0,310,172,138
Polizeiwache Clara,94,94,0,0,94,58,36
Basel brieflich Stimmende,31838,31787,261,7,31519,17862,13657
Total Basel,32428,32377,264,7,32106,18177,13929
Riehen Gemeindehaus,55,55,1,0,54,32,22
Riehen brieflich Stimmende,5346,5338,42,0,5296,2830,2466
Total Riehen,5401,5393,43,0,5350,2862,2488
Bettingen Gemeindehaus,1,1,0,0,1,0,1
Bettingen brieflich Stimmende,320,320,3,0,317,154,163
Total Bettingen,321,321,3,0,318,154,164
Total Kanton,38150,38091,310,7,37774,21193,16581
