Kanton Basel-Stadt,,,,,,,
,,,,,,,
Eidgenössische Volksabstimmung vom 9. Februar 2020,,,,,,,Schlussresultat
,,,,,,,
(1) «Mietwohnungsinitiative»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,688,688,33,0,655,442,213
Rathaus,1136,1136,28,0,1108,790,318
Polizeiwache Clara,401,400,11,0,389,299,90
Basel brieflich Stimmende,42771,42728,784,12,41932,26070,15862
Total Basel,44996,44952,856,12,44084,27601,16483
Riehen Gemeindehaus,230,230,10,0,220,132,88
Riehen brieflich Stimmende,6843,6837,118,2,6717,3134,3583
Total Riehen,7073,7067,128,2,6937,3266,3671
Bettingen Gemeindehaus,6,6,0,0,6,6,0
Bettingen brieflich Stimmende,438,438,7,3,428,127,301
Total Bettingen,444,444,7,3,434,133,301
Persönlich an der Urne Stimmende AS,6,6,0,0,6,4,2
Brieflich Stimmende AS,2189,2188,48,0,2140,1267,873
Total Auslandschweizer (AS),2195,2194,48,0,2146,1271,875
Total Kanton,54708,54657,1039,17,53601,32271,21330
,,,,,,,
(2) «Anti-Diskriminierungs-Gesetz»,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein
Bahnhof SBB,688,688,11,0,677,550,127
Rathaus,1136,1136,34,0,1102,932,170
Polizeiwache Clara,401,400,13,0,387,333,54
Basel brieflich Stimmende,42771,42728,803,12,41913,30506,11407
Total Basel,44996,44952,861,12,44079,32321,11758
Riehen Gemeindehaus,230,230,1,0,229,165,64
Riehen brieflich Stimmende,6843,6837,135,3,6699,4095,2604
Total Riehen,7073,7067,136,3,6928,4260,2668
Bettingen Gemeindehaus,6,6,0,0,6,1,5
Bettingen brieflich Stimmende,438,438,10,1,427,224,203
Total Bettingen,444,444,10,1,433,225,208
Persönlich an der Urne Stimmende AS,6,6,0,0,6,5,1
Brieflich Stimmende AS,2189,2188,21,0,2167,1736,431
Total Auslandschweizer (AS),2195,2194,21,0,2173,1741,432
Total Kanton,54708,54657,1028,16,53613,38547,15066
