Kanton Basel-Stadt,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Kantonale Abstimmung vom 9. Februar 2020,,,,,,,,,,,,,,Schlussresultat
,,,,,,,,,,,,,,
(1) «Zämme besser» und Gegenvorschlag,,,,,,Initiative,,,Gegenvorschlag,,,Stichfrage,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,,,Stimmen,,,Stimmen,,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,ohne gültige Antwort,Ja,Nein,ohne gültige Antwort,Ja,Nein,ohne gültige Antwort,Initiative,Gegenvorschlag
Bahnhof SBB,688,688,23,0,665,7,147,511,25,406,234,35,148,482
Rathaus,1136,1136,40,0,1096,18,214,864,38,685,373,59,220,817
Polizeiwache Clara,401,400,9,0,391,4,72,315,16,259,116,14,69,308
Basel brieflich Stimmende,42771,42728,1050,10,41668,535,13850,27283,1429,21953,18286,2310,13462,25896
Total Basel,44996,44952,1122,10,43820,564,14283,28973,1508,23303,19009,2418,13899,27503
Riehen Gemeindehaus,230,230,4,0,226,4,50,172,3,146,77,9,54,163
Riehen brieflich Stimmende,6843,6837,160,0,6677,98,2990,3589,276,2805,3596,452,2938,3287
Total Riehen,7073,7067,164,0,6903,102,3040,3761,279,2951,3673,461,2992,3450
Bettingen Gemeindehaus,6,6,0,0,6,4,0,2,0,5,1,4,0,2
Bettingen brieflich Stimmende,438,438,9,0,429,7,247,175,21,147,261,22,243,164
Total Bettingen,444,444,9,0,435,11,247,177,21,152,262,26,243,166
Total Kanton,52513,52463,1295,10,51158,677,17570,32911,1808,26406,22944,2905,17134,31119
,,,,,,,,,,,,,,
(2) «Parkieren»,,,,,,,,,,,,,,
,"Stimmrechtsausweise",Stimmzettel,,,,Stimmen,,,,,,,,
Wahllokale,,eingelegte,leere,ungültige,Total gültige,Ja,Nein,,,,,,,
Bahnhof SBB,688,688,34,0,654,176,478,,,,,,,
Rathaus,1136,1136,52,1,1083,325,758,,,,,,,
Polizeiwache Clara,401,400,13,0,387,103,284,,,,,,,
Basel brieflich Stimmende,42771,42728,1396,9,41323,17019,24304,,,,,,,
Total Basel,44996,44952,1495,10,43447,17623,25824,,,,,,,
Riehen Gemeindehaus,230,230,8,0,222,73,149,,,,,,,
Riehen brieflich Stimmende,6843,6837,242,2,6593,3468,3125,,,,,,,
Total Riehen,7073,7067,250,2,6815,3541,3274,,,,,,,
Bettingen Gemeindehaus,6,6,0,0,6,4,2,,,,,,,
Bettingen brieflich Stimmende,438,438,21,1,416,276,140,,,,,,,
Total Bettingen,444,444,21,1,422,280,142,,,,,,,
Total Kanton,52513,52463,1766,13,50684,21444,29240,,,,,,,
